"","Estimate","Std. Error","z-value","Pr(>|z|)"
"WaitTime_std",-0.249199385773773,0.0570524907169062,-4.3678966972765,1.25448800425421e-05
"VaccineEfficacy_std",0.219972367403584,0.0457358787856882,4.80962371870765,1.51214680044198e-06
"SideEffects_std",-0.00808083516610169,0.0339856902706344,-0.237771694550044,0.812058173604643
"CashIncentives_std",0.424614119034955,0.0271603775437029,15.6335867699822,0
"VaccineOrigin",0.128472052946312,0.0524401715850962,2.44987857711024,0.0142904396049504
"ASC_optout",-0.301609384862876,0.13244956043687,-2.27716410585321,0.0227764277109406
"WaitTime_std:low_trust",-0.137540752240082,0.0510594246500967,-2.69373877952268,0.0070655515583582
"WaitTime_std:chronic_yes",-0.122076611843539,0.0759972360662923,-1.60632962673868,0.108201504122511
"WaitTime_std:irregular_pa",-0.223668053733601,0.056971989445167,-3.9259301967833,8.63952093248521e-05
"WaitTime_std:smoker_any",0.106448270553819,0.0557627751527925,1.90894858195536,0.0562687249927891
"sd.WaitTime_std",1.24845464641212,0.0793721237504373,15.7291324387077,0
